Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO
"Sunday, Sep 10",MIL,@,NYY,L-wo,3.0,4.0,13.0,79-63,1.0,up 3.0,Misiewicz,Milner,None,3.55,D,41702.0,.33,-1,,23.3,88.0,194.38233316,0.0,,7.6,0.07407407407407407
"Monday, Sep 11",MIL,Home,MIA,W,12.0,0.0,9.0,80-63,1.0,up 3.0,Woodruff,Luzardo,None,2.3333333333333335,N,21792.0,.40,1,,19.4,79.0,301.1462953,0.0,,11.2,0.1111111111111111
"Tuesday, Sep 12",MIL,Home,MIA,W,3.0,1.0,9.0,81-63,1.0,up 4.0,Peralta,Cabrera,Williams,2.466666666666667,N,26466.0,.37,2,,16.7,84.0,221.1462953,0.0,,11.2,0.14814814814814814
"Wednesday, Sep 13",MIL,Home,MIA,L,0.0,2.0,9.0,81-64,1.0,up 4.0,Garrett,Rea,Scott,2.5833333333333335,N,24251.0,.25,-1,,16.7,72.0,311.1462953,0.0,,14.8,0.1111111111111111
"Thursday, Sep 14",MIL,Home,MIA,W,4.0,2.0,9.0,82-64,1.0,up 4.5,Houser,Pérez,Williams,2.55,D,26529.0,.25,1,,16.7,67.0,231.1462953,0.0,,0.0,0.07407407407407407
"Friday, Sep 15",MIL,Home,WSN,W,5.0,3.0,9.0,83-64,1.0,up 5.5,Miley,Irvin,Williams,2.4833333333333334,N,35428.0,.20,2,,16.1,72.0,71.14629529999999,0.0,,9.4,0.07407407407407407
"Saturday, Sep 16",MIL,Home,WSN,W,9.0,5.0,9.0,84-64,1.0,up 6.5,Payamps,Finnegan,None,3.15,N,36212.0,.14,3,,19.4,71.0,61.14629529999999,0.0,,11.2,0.07407407407407407
"Sunday, Sep 17",MIL,Home,WSN,L,1.0,2.0,11.0,84-65,1.0,up 6.5,Garcia,Vieira,None,3.25,D,31865.0,.10,-1,,17.8,78.0,101.14629529999999,0.1,,5.4,0.2962962962962963
"Monday, Sep 18",MIL,@,STL,L,0.0,1.0,9.0,84-66,1.0,up 6.0,Wainwright,Peralta,Helsley,2.1,N,33176.0,.07,-2,,13.9,90.0,297.30370856,0.0,,0.0,0.037037037037037035
"Tuesday, Sep 19",MIL,@,STL,W,7.0,3.0,9.0,85-66,1.0,up 6.0,Rea,Rom,None,3.066666666666667,N,35760.0,.09,1,,16.1,70.0,107.30370855999999,0.0,,9.4,0.037037037037037035
"Wednesday, Sep 20",MIL,@,STL,W,8.0,2.0,9.0,86-66,1.0,up 7.0,Houser,Thompson,None,2.4,N,37008.0,.07,2,,20.0,70.0,77.30370855999999,0.0,,7.6,0.1111111111111111
"Thursday, Sep 21",MIL,@,STL,W,6.0,0.0,9.0,87-66,1.0,up 8.0,Miley,Mikolas,None,2.3,D,37105.0,.05,3,,20.6,84.0,7.303708559999997,0.0,,7.6,0.1111111111111111
"Friday, Sep 22",MIL,@,MIA,W,16.0,1.0,9.0,88-66,1.0,up 8.0,Burnes,Okert,None,2.8833333333333333,N,15884.0,.03,4,,25.0,85.0,161.8678115,0.0,,5.4,0.1111111111111111
"Saturday, Sep 23",MIL,@,MIA,L,4.0,5.0,9.0,88-67,1.0,up 7.0,Nardi,Payamps,Scott,2.5833333333333335,D,23867.0,.03,-1,,26.1,74.0,321.8678115,0.0,,5.4,0.1111111111111111
"Sunday, Sep 24",MIL,@,MIA,L,1.0,6.0,9.0,88-68,1.0,up 6.0,Cabrera,Peralta,None,2.7666666666666666,D,17538.0,.03,-2,,27.2,72.0,241.8678115,0.0,,7.6,0.14814814814814814
"Tuesday, Sep 26",MIL,Home,STL,L,1.0,4.0,9.0,88-69,1.0,up 6.0,Mikolas,Houser,Helsley,2.4333333333333336,N,36755.0,.04,-3,,20.6,78.0,341.1462953,0.0,,20.5,0.1111111111111111
"Wednesday, Sep 27",MIL,Home,STL,W,3.0,2.0,9.0,89-69,1.0,up 7.0,Payamps,Barnes,Williams,2.6833333333333336,N,31256.0,.04,1,,19.4,87.0,321.1462953,0.0,,13.0,0.25925925925925924
"Thursday, Sep 28",MIL,Home,STL,W,3.0,0.0,9.0,90-69,1.0,up 8.0,Teheran,Hudson,Small,2.3833333333333333,D,29185.0,.05,2,,18.3,84.0,331.1462953,0.0,,20.5,0.14814814814814814
"Friday, Sep 29",MIL,Home,CHC,W-wo,4.0,3.0,10.0,91-69,1.0,up 9.0,Boushley,Cuas,None,3.05,N,39216.0,.03,3,,18.3,78.0,231.1462953,0.0,,0.0,0.07407407407407407
"Saturday, Sep 30",MIL,Home,CHC,L,6.0,10.0,9.0,91-70,1.0,up 8.0,Wesneski,Lauer,Taillon,3.033333333333333,N,42652.0,.01,-1,,17.8,84.0,31.14629529999999,0.0,,9.4,0.07407407407407407
"Sunday, Oct 1",MIL,Home,CHC,W,4.0,0.0,9.0,92-70,1.0,up 9.0,Houser,Smyly,None,2.3833333333333333,D,42946.0,.02,1,,21.1,73.0,31.14629529999999,0.0,,7.6,0.07407407407407407
